,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
193,48.0,42.0,16.0,14.0,1.0,0.0,4.0,3.0,1,0,0.6118665018541408,0.21347342398022248,0.1746600741656366,0.5964499519258584,0.21626476316942211,0.18728528490471957,0.0
194,12.0,4.0,10.0,8.0,0.0,1.0,6.0,5.0,1,0,0.5883926183471516,0.23829901043059643,0.17330837122225196,0.5830841520717642,0.23921401110636484,0.177701836821871,0.0
195,-6.0,-8.0,7.0,4.0,0.0,0.0,3.0,7.0,1,0,0.39999205971097346,0.2929172621883437,0.30709067810068286,0.3971865949524204,0.29168390566818375,0.311129499379396,2.0
196,-11.0,-9.0,8.0,4.0,0.0,1.0,4.0,9.0,1,0,0.5467625899280576,0.2517985611510791,0.20143884892086333,0.5502504696305573,0.25281778334376953,0.19693174702567312,1.0
197,-14.0,-18.0,5.0,4.0,1.0,0.0,2.0,2.0,1,0,0.4532775453277545,0.2928870292887029,0.25383542538354253,0.44651162790697674,0.2930232558139535,0.26046511627906976,1.0
198,23.0,-10.0,15.0,4.0,1.0,0.0,2.0,7.0,1,0,0.6833748934692718,0.2209526214450301,0.09567248508569805,0.6844089246137731,0.2149644659294992,0.10062660945672773,2.0
199,7.0,-19.0,9.0,6.0,0.0,1.0,6.0,4.0,1,0,0.5171723641021535,0.28140260987911303,0.2014250260187335,0.5206391478029294,0.2756324900133155,0.20372836218375498,1.0
200,8.0,-15.0,10.0,6.0,0.0,1.0,3.0,4.0,1,0,0.661129263749351,0.2198674687757657,0.11900326747488318,0.6292239571195526,0.23281286413423444,0.137963178746213,1.0
201,41.0,-11.0,14.0,3.0,1.0,0.0,3.0,5.0,1,0,0.8025682182985554,0.12520064205457465,0.07223113964686999,0.7968258853010353,0.12859121183478775,0.07458290286417689,2.0
202,7.0,44.0,9.0,15.0,0.0,1.0,5.0,4.0,1,0,0.1566003616636528,0.21699819168173598,0.6264014466546112,0.16230399200349846,0.21553070531642404,0.6221653026800774,2.0
203,-12.0,11.0,3.0,10.0,0.0,1.0,7.0,5.0,1,0,0.42834645669291344,0.2771653543307087,0.29448818897637796,0.4146341463414634,0.27439024390243905,0.31097560975609756,2.0
204,-9.0,-7.0,4.0,7.0,1.0,0.0,9.0,3.0,1,0,0.4564841498559078,0.28357348703170027,0.25994236311239194,0.4436536180308422,0.2823250296559905,0.27402135231316727,0.0
205,-18.0,-11.0,4.0,8.0,0.0,1.0,3.0,4.0,1,0,0.3028768233387358,0.28889789303079416,0.40822528363047,0.316154403394391,0.28697092000413954,0.3968746766014695,0.0
206,-12.0,-10.0,4.0,5.0,1.0,0.0,7.0,3.0,1,0,0.45925577013659924,0.2896844088553933,0.25105982100800756,0.4776622646810903,0.27395335768474294,0.2483843776341669,2.0
207,-16.0,26.0,6.0,15.0,0.0,1.0,5.0,2.0,1,0,0.23576330921906882,0.30421072157299206,0.46002596920793926,0.21493073280642155,0.28201517365206225,0.5030540935415163,0.0
208,-15.0,5.0,6.0,8.0,0.0,0.0,4.0,7.0,1,0,0.41395531164249316,0.2975303802430419,0.2885143081144649,0.40639082343301924,0.3015157722244981,0.29209340434248254,1.0
209,6.0,-17.0,9.0,3.0,1.0,0.0,4.0,8.0,1,0,0.6106870229007634,0.233587786259542,0.15572519083969466,0.5959637003927942,0.23391575240417176,0.17012054720303402,2.0
210,-15.0,9.0,3.0,10.0,0.0,1.0,8.0,7.0,1,0,0.3658536585365854,0.2882483370288249,0.34589800443458985,0.3595658073270013,0.28765264586160105,0.35278154681139756,2.0
211,-11.0,49.0,5.0,15.0,0.0,1.0,6.0,3.0,1,0,0.10052600818234952,0.1591661796220534,0.7403078121955972,0.1034381428151631,0.16926241551572144,0.7272994416691155,0.0
212,-15.0,4.0,3.0,9.0,0.0,1.0,4.0,5.0,1,0,0.3532608695652174,0.29347826086956524,0.3532608695652174,0.3670872875169465,0.2925226822400667,0.34039003024298675,2.0
213,41.0,-10.0,14.0,4.0,0.0,0.0,4.0,7.0,1,0,0.8377135348226018,0.10611038107752954,0.05617608409986859,0.8206811653672549,0.11694706606483381,0.062371768567911365,0.0
214,5.0,-9.0,9.0,4.0,0.0,0.0,5.0,9.0,1,0,0.6175562417291575,0.22496691662990734,0.15747684164093514,0.6222222222222222,0.2222222222222222,0.15555555555555556,1.0
215,-4.0,-19.0,8.0,4.0,0.0,1.0,3.0,3.0,1,0,0.48908296943231444,0.2724890829694323,0.23842794759825325,0.49168474331164136,0.274765003615329,0.23355025307302965,1.0
216,-11.0,-11.0,8.0,5.0,0.0,0.0,4.0,6.0,1,0,0.5981356809943034,0.22786121180735366,0.1740031071983428,0.5959637003927942,0.23391575240417176,0.17012054720303402,1.0
217,-14.0,-17.0,4.0,6.0,0.0,0.0,3.0,5.0,1,0,0.3907637655417407,0.29011249259917116,0.31912374185908826,0.3956834532374101,0.2877697841726619,0.31654676258992803,2.0
218,27.0,-17.0,15.0,5.0,1.0,0.0,2.0,5.0,1,0,0.7784120394395433,0.15827711468604044,0.06331084587441618,0.7450110864745012,0.17738359201773835,0.07760532150776053,2.0
219,7.0,7.0,8.0,10.0,0.0,0.0,8.0,3.0,1,0,0.41401273885350315,0.2929936305732484,0.2929936305732484,0.39008264462809916,0.29256198347107437,0.3173553719008264,0.0
220,51.0,8.0,15.0,10.0,0.0,1.0,3.0,6.0,1,0,0.7780921584478578,0.13561034761519808,0.08629749393694423,0.7799547852298417,0.1386586284853052,0.08138658628485304,2.0
221,-9.0,-12.0,5.0,4.0,0.0,0.0,6.0,4.0,1,0,0.5902192242833053,0.22765598650927488,0.1821247892074199,0.5830841520717642,0.23921401110636484,0.177701836821871,2.0
222,-11.0,36.0,3.0,13.0,0.0,0.0,10.0,4.0,1,0,0.07304347826086957,0.13565217391304346,0.7913043478260869,0.08911113608270592,0.14394875828744802,0.766940105629846,0.0
223,-19.0,7.0,4.0,9.0,0.0,1.0,3.0,6.0,1,0,0.3067869752844252,0.27971753628874063,0.41349548842683403,0.29158356601515756,0.2744315915436777,0.43398484244116475,2.0
224,-10.0,-4.0,5.0,8.0,0.0,1.0,7.0,3.0,1,0,0.4545454545454546,0.27272727272727276,0.27272727272727276,0.44134505158578524,0.28754298815437523,0.2711119602598395,2.0
225,-20.0,-9.0,5.0,8.0,0.0,0.0,5.0,5.0,1,0,0.39768618944323936,0.28681610026512416,0.31549771029163654,0.38866154306817047,0.28855175167182356,0.32278670526000597,1.0
226,-20.0,-12.0,5.0,5.0,1.0,0.0,4.0,3.0,1,0,0.4830216088614491,0.26911203922280735,0.24786635191574358,0.4984802431610942,0.2741641337386018,0.22735562310030397,2.0
227,5.0,29.0,10.0,15.0,0.0,1.0,3.0,2.0,1,0,0.23741007194244607,0.2877697841726619,0.47482014388489213,0.24821002386634847,0.2863961813842482,0.46539379474940334,0.0
228,6.0,-17.0,8.0,3.0,1.0,0.0,7.0,8.0,1,0,0.5171140113272592,0.2551095789214479,0.22777640975129276,0.510925955038516,0.24933186605879581,0.2397421789026883,1.0
229,-17.0,51.0,3.0,15.0,0.0,1.0,8.0,3.0,1,0,0.11190148386109836,0.17293865687624294,0.7151598592626587,0.12061648425284788,0.18695555059191424,0.6924279651552379,0.0
230,7.0,1.0,10.0,8.0,1.0,0.0,6.0,5.0,1,0,0.5533013648100332,0.2552563629656953,0.1914422722242715,0.5198776758409787,0.25993883792048933,0.22018348623853212,1.0
231,-18.0,-4.0,4.0,6.0,0.0,0.0,6.0,6.0,1,0,0.29753038024304196,0.28851430811446493,0.4139553116424932,0.3014616321559074,0.28319123020706455,0.41534713763702796,1.0
232,-16.0,-21.0,4.0,2.0,0.0,1.0,3.0,10.0,1,0,0.42285270112708895,0.29731830547998445,0.27982899339292655,0.4247787610619469,0.2831858407079646,0.2920353982300885,1.0
233,5.0,-10.0,8.0,5.0,0.0,0.0,6.0,7.0,1,0,0.6340391980175715,0.2196440639783735,0.14631673800405498,0.6418691631412705,0.2149446389272153,0.1431861979315142,2.0
234,-5.0,-17.0,8.0,5.0,0.0,1.0,2.0,6.0,1,0,0.42307692307692313,0.2884615384615385,0.2884615384615385,0.4247957712638154,0.2940893801057184,0.2811148486304661,2.0
235,-7.0,-14.0,8.0,6.0,1.0,0.0,6.0,4.0,1,0,0.6217557060086298,0.21969658895916944,0.15854770503220061,0.6106870229007634,0.233587786259542,0.15572519083969466,2.0
236,-16.0,6.0,5.0,10.0,0.0,1.0,2.0,3.0,1,0,0.27982899339292655,0.29731830547998445,0.42285270112708895,0.2875816993464052,0.2875816993464052,0.4248366013071895,1.0
237,28.0,6.0,15.0,8.0,0.0,1.0,2.0,7.0,1,0,0.7210277923439958,0.19179339276350293,0.08717881489250133,0.7155667144906744,0.19583931133428983,0.08859397417503588,2.0
238,5.0,53.0,8.0,16.0,0.0,1.0,6.0,3.0,1,0,0.19069369112189552,0.2383671139023694,0.5709391949757351,0.19069369112189552,0.2383671139023694,0.5709391949757351,0.0
239,-4.0,6.0,6.0,9.0,0.0,1.0,6.0,7.0,1,0,0.43220338983050843,0.288135593220339,0.2796610169491525,0.44155844155844154,0.2792207792207792,0.2792207792207792,0.0
240,-21.0,-18.0,2.0,4.0,0.0,0.0,10.0,6.0,1,0,0.41395531164249316,0.2885143081144649,0.2975303802430419,0.4247957712638154,0.2811148486304661,0.2940893801057184,0.0
241,-17.0,-14.0,5.0,4.0,0.0,0.0,3.0,4.0,1,0,0.5884729329383249,0.2477780770266631,0.16374899003501214,0.5854612684547574,0.24959138286755447,0.16494734867768818,2.0
242,-12.0,40.0,5.0,13.0,0.0,1.0,6.0,4.0,1,0,0.04562584118438762,0.10646029609690444,0.8479138627187081,0.05008944543828264,0.10017889087656529,0.849731663685152,0.0
243,-23.0,7.0,4.0,9.0,0.0,1.0,6.0,5.0,1,0,0.41002004008016035,0.28577154308617236,0.30420841683366734,0.4041204437400951,0.2793185419968304,0.3165610142630745,2.0
244,-16.0,1.0,5.0,9.0,0.0,1.0,4.0,2.0,1,0,0.5925155925155925,0.24948024948024947,0.15800415800415799,0.5883926183471516,0.23829901043059643,0.17330837122225196,2.0
245,3.0,-7.0,9.0,8.0,1.0,0.0,4.0,6.0,1,0,0.5151610291323099,0.2647355288596593,0.22010344200803078,0.5130354598038394,0.26364322239919524,0.22332131779696537,2.0
246,4.0,-15.0,7.0,5.0,1.0,0.0,7.0,3.0,1,0,0.4317656129529684,0.2968388589051658,0.27139552814186585,0.44155844155844154,0.2792207792207792,0.2792207792207792,2.0
247,28.0,-15.0,15.0,3.0,1.0,0.0,2.0,8.0,1,0,0.7147962830593281,0.1901358112937813,0.09506790564689065,0.7468414216554493,0.1662533947337348,0.08690518361081592,2.0
248,3.0,-15.0,7.0,3.0,0.0,0.0,6.0,8.0,1,0,0.2717731541152642,0.2642238998342847,0.46400294605045117,0.28767123287671237,0.2671232876712329,0.4452054794520548,2.0
249,46.0,-6.0,16.0,6.0,0.0,0.0,3.0,5.0,1,0,0.7879656160458453,0.12607449856733524,0.08595988538681948,0.7777777777777777,0.1333333333333333,0.08888888888888886,2.0
250,7.0,-23.0,9.0,2.0,1.0,0.0,7.0,9.0,1,0,0.3875,0.30625,0.30625,0.3884711779448622,0.3007518796992481,0.3107769423558897,0.0
251,-11.0,-16.0,5.0,5.0,1.0,0.0,6.0,3.0,1,0,0.45434298440979953,0.2650334075723831,0.2806236080178174,0.43398484244116475,0.2744315915436777,0.29158356601515756,1.0
252,-15.0,-13.0,4.0,5.0,1.0,0.0,4.0,6.0,1,0,0.45434298440979953,0.2650334075723831,0.2806236080178174,0.43398484244116475,0.2744315915436777,0.29158356601515756,1.0
253,42.0,-21.0,14.0,5.0,0.0,0.0,3.0,6.0,1,0,0.920350710399831,0.05630380816563672,0.0233454814345323,0.9207710410272423,0.04863559857733639,0.030593360395421276,2.0
254,4.0,-13.0,8.0,6.0,0.0,1.0,5.0,4.0,1,0,0.3311067603362892,0.2542899919382701,0.4146032477254405,0.34528497409326425,0.27419689119170987,0.3805181347150259,0.0
255,2.0,4.0,9.0,10.0,0.0,0.0,2.0,3.0,1,0,0.23779222575736617,0.2642135841748513,0.49799419006778256,0.23354148082069584,0.26690454950936665,0.4995539696699376,1.0
256,-8.0,5.0,8.0,7.0,0.0,1.0,5.0,7.0,1,0,0.6363636363636365,0.2272727272727273,0.13636363636363638,0.6227217496962333,0.22782503037667073,0.14945321992709598,2.0
257,-15.0,30.0,5.0,16.0,0.0,1.0,3.0,2.0,1,0,0.05623648161499639,0.14708002883922133,0.7966834895457823,0.06442630820931348,0.16985117618819012,0.7657225156024964,2.0
258,-7.0,4.0,6.0,8.0,0.0,1.0,4.0,5.0,1,0,0.4901960784313726,0.2549019607843137,0.2549019607843137,0.4885133350937418,0.2574597306575125,0.2540269342487457,0.0
259,-23.0,45.0,2.0,16.0,0.0,1.0,9.0,3.0,1,0,0.07330330796707563,0.11911787544649789,0.8075788165864264,0.08095485210171251,0.14322781525687597,0.7758173326414116,0.0
260,-13.0,-11.0,5.0,5.0,0.0,1.0,6.0,6.0,1,0,0.19022379269729095,0.2502944640753828,0.5594817432273262,0.20340050377833752,0.24622166246851382,0.5503778337531485,2.0
261,-26.0,-15.0,5.0,4.0,0.0,0.0,5.0,4.0,1,0,0.47707736389684813,0.26504297994269344,0.2578796561604584,0.46646341463414637,0.25914634146341464,0.27439024390243905,2.0
262,-7.0,47.0,7.0,15.0,0.0,1.0,4.0,2.0,1,0,0.03644618971652964,0.08614553932997915,0.8774082709534912,0.0445945945945946,0.10405405405405405,0.8513513513513513,0.0
263,3.0,1.0,6.0,8.0,0.0,0.0,7.0,3.0,1,0,0.5319148936170214,0.25531914893617025,0.21276595744680854,0.5122702571735143,0.253366100169603,0.2343636426568828,2.0
264,27.0,-9.0,15.0,8.0,1.0,0.0,2.0,5.0,1,0,0.5389221556886228,0.251497005988024,0.20958083832335334,0.5115940521992305,0.2600603098679422,0.2283456379328273,2.0
265,-15.0,-13.0,3.0,6.0,0.0,1.0,8.0,3.0,1,0,0.7137192704203014,0.18080888183980967,0.10547184773988898,0.7023538344722855,0.19665907365223995,0.10098709187547457,2.0
266,-3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.5275084060230983,0.25320403489108717,0.21928755908581452,0.5259666413949963,0.2601402577710387,0.21389310083396518,0.0
