,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_1.0,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_15722.0,League_17642.0,League_19694.0,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
3952,4.0,-12.0,5.0,4.0,2.0,0.0,10.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.5650328476033415,0.2572386385141528,0.1777285138825056,0.543512809103045,0.25967834212701035,0.19680884876994467,0.0
3953,10.0,3.0,10.0,9.0,1.0,1.0,8.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.4645476772616137,0.2787286063569682,0.2567237163814181,0.4452054794520548,0.28767123287671237,0.2671232876712329,2.0
3954,6.0,10.0,8.0,8.0,3.0,1.0,7.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.5133945804060835,0.2801667567358913,0.20643866285802517,0.5023505708529215,0.28072531900604436,0.21692411014103424,0.0
3955,-14.0,-5.0,5.0,6.0,0.0,5.0,5.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.22433316350847204,0.27753217085476684,0.49813466563676106,0.23842794759825325,0.2724890829694323,0.48908296943231444,0.0
3956,-14.0,-9.0,5.0,6.0,0.0,1.0,3.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.3244274809160305,0.28625954198473286,0.3893129770992367,0.333889816360601,0.2921535893155259,0.3739565943238731,1.0
3957,0.0,-13.0,8.0,5.0,1.0,0.0,3.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.4765957446808511,0.27914893617021275,0.24425531914893614,0.44365361803084225,0.2740213523131673,0.28232502965599054,2.0
3958,-5.0,-20.0,7.0,1.0,2.0,2.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.46267087276550994,0.29442691903259727,0.24290220820189273,0.44321329639889195,0.29085872576177285,0.2659279778393352,1.0
3959,7.0,16.0,8.0,11.0,2.0,4.0,8.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.1945459657014338,0.2431824571267922,0.5622715771717739,0.20727886237647627,0.2383706917329477,0.554350445890576,1.0
3960,16.0,11.0,12.0,9.0,2.0,2.0,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.5555555555555556,0.2592592592592593,0.1851851851851852,0.5281969817315331,0.27164416203335984,0.20015885623510724,1.0
3961,13.0,-4.0,11.0,7.0,0.0,2.0,7.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.3722005139043043,0.2879080445789177,0.33989144151677786,0.3648208469055374,0.29641693811074915,0.33876221498371334,2.0
3962,-15.0,23.0,5.0,11.0,2.0,2.0,4.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.21586931155192535,0.2590431738623104,0.5250875145857643,0.21991084695393762,0.274888558692422,0.5052005943536404,0.0
3963,-14.0,14.0,5.0,10.0,2.0,3.0,3.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.12192963044921443,0.20535516707236112,0.6727152024784244,0.14162679425837318,0.2124401913875598,0.6459330143540669,0.0
3964,1.0,0.0,9.0,6.0,0.0,0.0,2.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.22433316350847204,0.27753217085476684,0.49813466563676106,0.23210222300017505,0.27988797479432875,0.4880098022054963,1.0
3965,8.0,-19.0,8.0,1.0,1.0,2.0,9.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.5133945804060835,0.2801667567358913,0.20643866285802517,0.5051038366772262,0.2669834565293911,0.22791270679338266,2.0
3966,-5.0,-10.0,7.0,5.0,0.0,0.0,4.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.39871625448367,0.2960166131772702,0.30526713233905983,0.38795986622073575,0.2909698996655518,0.3210702341137124,0.0
3967,5.0,0.0,8.0,9.0,3.0,2.0,6.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.5717600265164071,0.2591978786874379,0.16904209479615512,0.5698045584364675,0.2571820574564596,0.17301338410707287,2.0
3968,-4.0,-11.0,7.0,5.0,3.0,3.0,6.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.37081339712918665,0.3145933014354067,0.3145933014354067,0.3747394747811588,0.3022092538557732,0.32305127136306794,1.0
3969,5.0,-14.0,5.0,5.0,5.0,1.0,10.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.5907172995780591,0.2320675105485232,0.17721518987341772,0.557029177718833,0.26578249336870025,0.17718832891246686,2.0
3970,-21.0,-15.0,1.0,5.0,3.0,2.0,6.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.39871625448367,0.30526713233905983,0.2960166131772702,0.38795986622073575,0.2909698996655518,0.3210702341137124,2.0
3971,-9.0,15.0,6.0,11.0,0.0,1.0,6.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.2567237163814181,0.2787286063569682,0.4645476772616137,0.2568638290031325,0.2795282845034089,0.4636078864934587,0.0
3972,1.0,9.0,6.0,9.0,3.0,0.0,7.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.4539682539682539,0.29576719576719573,0.2502645502645503,0.45564074479737127,0.2990142387732749,0.2453450164293538,1.0
3973,-3.0,-15.0,7.0,5.0,5.0,0.0,6.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0.6790850222857623,0.2058699857034732,0.11504499201076444,0.661129263749351,0.2198674687757657,0.11900326747488318,1.0
3974,13.0,15.0,10.0,12.0,2.0,0.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.6039689387402933,0.23295944779982744,0.1630716134598792,0.5883926183471516,0.23829901043059643,0.17330837122225196,0.0
3975,-16.0,-5.0,5.0,6.0,2.0,2.0,4.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.45492957746478874,0.2876760563380282,0.2573943661971831,0.43398484244116475,0.29158356601515756,0.2744315915436777,2.0
